concept,prop_s,label,prob,prob_control,prob_norm
jalopy,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
bobcat,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
sky,flew,pos,1.622914533072617e-05,0.000487626064568758,-0.00047139691923803184
tropicbird,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
nightingale,flew,pos,2.2623976292379666e-06,4.811606777366251e-05,-4.585367014442454e-05
bark,flew,neg,1.57300219143508e-05,2.4449129341519438e-05,-8.719107427168638e-06
ass,flew,neg,8.154991519404575e-05,4.200018884148449e-05,3.9549726352561265e-05
boat,flew,neg,2.3462442186428234e-05,7.655636727577075e-05,-5.309392508934252e-05
bearcat,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
gallinule,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
stork,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
whitethroat,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
skimmer,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
skylark,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
paridae,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
basset,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
jet,flew,pos,1.0171914254897274e-05,1.9505441741785035e-05,-9.33352748688776e-06
hind,flew,neg,1.2491542292991653e-05,1.2166359738330357e-05,3.251825546612963e-07
balloon,flew,pos,2.3477630747947842e-05,4.919687125948258e-05,-2.5719240511534736e-05
bream,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
mangabey,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
lorry,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
babbler,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
wherry,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
icteridae,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
roebuck,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
deer,flew,neg,4.342313786764862e-06,7.77106179157272e-05,-7.336830412896234e-05
rudd,flew,neg,1.1624940725596389e-06,4.787813395523699e-06,-3.62531932296406e-06
heap,flew,neg,4.5873293856857345e-05,1.0009903235186357e-05,3.586339062167099e-05
twinjet,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
rabbit,flew,neg,1.5356377844000235e-05,3.147332608932629e-05,-1.6116948245326057e-05
trailer,flew,neg,6.915993708389578e-06,2.1113593902555294e-05,-1.4197600194165716e-05
hog,flew,neg,6.806661531300051e-06,4.461979915504344e-05,-3.781313762374339e-05
emu,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
arrow,flew,pos,5.5415239330613986e-06,2.0315670553827658e-05,-1.477414662076626e-05
wing,flew,pos,4.734522372018546e-05,9.901544399326667e-05,-5.167022027308121e-05
shell,flew,neg,8.417145727435127e-05,7.279103010660037e-05,1.1380427167750895e-05
grosbeak,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
flicker,flew,pos,4.553953203867422e-06,1.1603177881625015e-05,-7.049224677757593e-06
titi,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
interceptor,flew,neg,5.548718604586611e-07,3.2579289381828858e-06,-2.7030570777242247e-06
phalacrocorax,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
capsule,flew,pos,1.6264084479189478e-05,2.010564821830485e-05,-3.841563739115372e-06
ferry,flew,neg,3.2235718663287116e-06,0.00010035783634521067,-9.713426447888196e-05
pussy,flew,neg,6.639088041993091e-06,3.5872028547601076e-06,3.0518851872329833e-06
flycatcher,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
duck,flew,pos,2.193669388361741e-06,0.0001008554536383599,-9.866178424999816e-05
armadillo,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
ounce,flew,neg,1.1078286661359016e-05,8.365086614503525e-06,2.7132000468554907e-06
ratite,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
hawk,flew,pos,2.0067525383637985e-06,5.445898568723351e-05,-5.245223314886971e-05
lizardfish,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
pelican,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
monkey,flew,neg,2.405952000117395e-05,0.00012578055611811578,-0.00010172103611694183
chinook,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
mola,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
howler,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
cart,flew,neg,2.0050401872140355e-06,1.5634769852113095e-06,4.4156320200272603e-07
car,flew,neg,0.0002630799717735499,0.00027502625016495585,-1.194627839140594e-05
robin,flew,pos,6.192773980728816e-06,2.3578244508826174e-05,-1.7385470528097358e-05
submarine,flew,neg,2.457257096466492e-06,4.101365993847139e-05,-3.85564028420049e-05
machine,flew,pos,0.00036743495729751885,0.0002545825263950974,0.00011285243090242147
ape,flew,neg,1.7192947780131362e-05,1.80548922799062e-05,-8.61944499774836e-07
bogie,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
haddock,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
towhee,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
nuthatch,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
grouper,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
seagull,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
razorback,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
knot,flew,neg,5.0625280891836155e-06,1.784945015970152e-05,-1.2786922070517903e-05
whistler,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
tit,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
sharpie,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
junk,flew,neg,1.1976382666034624e-05,2.9963586712256074e-05,-1.798720404622145e-05
avocet,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
scull,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
fryer,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
merganser,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
pinniped,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
tramcar,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
mouse,flew,neg,2.3278436856344342e-05,6.501909956568852e-05,-4.174066270934418e-05
catfish,flew,neg,3.4394864201203745e-07,8.562904440623242e-06,-8.218955798611205e-06
tortoise,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
airship,flew,pos,4.095114036317682e-06,1.2501655874075368e-05,-8.406541837757686e-06
plaice,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
shunter,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
goldcrest,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
fowl,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
caracara,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
poacher,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
stock,flew,neg,3.229125650250353e-05,2.395813680777792e-05,8.33311969472561e-06
albatross,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
toadfish,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
goatfish,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
tower,flew,neg,0.00010716513497754931,0.0002204046759288758,-0.00011323954095132649
van,flew,neg,1.8567039660410956e-05,5.9796810091938823e-05,-4.122977043152787e-05
jade,flew,neg,3.128260004814365e-06,6.411857611965388e-05,-6.0990316114839516e-05
motacilla,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
silverback,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
emberizidae,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
potoroo,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
chick,flew,neg,2.8609272703761235e-05,8.291444828500971e-06,2.0317827875260264e-05
yawl,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
sheepshead,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
seal,flew,neg,6.8886170083715115e-06,1.7786900571081787e-05,-1.0898283562710276e-05
taxi,flew,neg,1.1518376595631707e-05,1.1464115232229233e-05,5.426136340247467e-08
sloop,flew,neg,2.2097699456935516e-06,1.5070128938532434e-05,-1.2860358992838883e-05
barnacle,flew,neg,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
buffalo,flew,neg,2.1163385099498555e-05,8.568430348532274e-05,-6.452091838582419e-05
titmouse,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
gull,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
zebra,flew,neg,1.2520357813627925e-05,3.1811301596462727e-05,-1.9290943782834802e-05
ouzel,flew,pos,0.00047496636398136616,3.913741238648072e-05,0.00043582895159488544
truck,flew,neg,3.4873657568823546e-05,7.61118326408905e-06,2.7262474304734496e-05
