concept,prop_s,label,prob,prob_control,prob_norm
fir,-,neg,3.5206685424782336e-06,0.00010418200690764934,-0.0001006613383651711
pansy,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
bottle,-,neg,5.2469413276412524e-06,0.00017144616867881268,-0.00016619922735117143
flower,-,pos,0.010390792973339558,0.0004035864840261638,0.009987206489313394
gherkin,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
photinia,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
lobster,-,neg,1.0568641300778836e-05,2.3381964638247155e-05,-1.2813323337468319e-05
cream,-,neg,0.0001952664606506005,1.0312975973647553e-05,0.00018495348467695294
thundercloud,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
corn,-,pos,6.7739806581812445e-06,4.495107350521721e-05,-3.8177092847035965e-05
lemonade,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
seaweed,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
allspice,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
eucalyptus,-,neg,1.3239063889614044e-07,3.346578296259395e-06,-3.2141876573632544e-06
jade,-,neg,3.0486082778224954e-06,1.8863664763557608e-06,1.1622418014667346e-06
night,-,neg,5.752633114752825e-06,0.00011077665112679824,-0.00010502401801204542
mustard,-,pos,9.320990648120642e-05,6.129262146714609e-06,8.708064433449181e-05
plum,-,pos,2.349084979869076e-06,4.849478045798605e-06,-2.5003930659295293e-06
cherry,-,neg,3.680352892843075e-05,7.641209231223911e-05,-3.960856338380836e-05
spinach,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
herring,-,neg,1.747339069879672e-06,1.9267624793428695e-06,-1.7942340946319746e-07
cannon,-,neg,1.8801465557771735e-06,1.7795959138311446e-05,-1.5915812582534272e-05
calf,-,neg,5.232198236626573e-05,4.2833446059376e-05,9.488536306889728e-06
lemon,-,pos,5.036664788349299e-06,2.5336817088827956e-06,2.502983079466503e-06
apple,-,pos,2.6460106710146647e-06,3.9819584344513714e-05,-3.717357367349905e-05
lavandula,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
buttercup,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
lion,-,pos,4.560491561278468e-06,3.9910009945742786e-05,-3.534951838446432e-05
wasp,-,pos,1.2985895409656223e-05,1.7855014448286965e-05,-4.869119038630743e-06
lemongrass,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
nectarine,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
giraffe,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
colocasia,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
daisy,-,pos,8.607490599388257e-06,1.5523361071245745e-05,-6.915870471857488e-06
sunbeam,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
gentianella,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
corncob,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
beer,-,pos,1.0059102351078764e-06,4.8254656576318666e-05,-4.724874634121079e-05
tank,-,neg,9.773224883247167e-05,0.0001720785949146375,-7.434634608216584e-05
pyramid,-,pos,5.183080702408915e-07,5.8016164985019714e-05,-5.749785691477882e-05
hornet,-,pos,9.700286227598554e-07,2.780810746116913e-06,-1.8107821233570576e-06
pineapple,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
insect,-,neg,2.609367948025465e-05,0.00023201752628665417,-0.00020592384680639952
milk,-,neg,1.9337325284141116e-05,4.374829586595297e-05,-2.4410970581811853e-05
pigweed,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
yolk,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
skunk,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
butter,-,pos,1.246102783625247e-05,5.475007856148295e-05,-4.228905072523048e-05
kingfisher,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
sheep,-,neg,8.4754373119722e-07,1.9172193788108416e-05,-1.8324650056911196e-05
actinidia,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
cheese,-,pos,3.088701851083897e-05,0.00014114845544099808,-0.00011026143693015911
oven,-,neg,5.035218819671172e-08,1.1938130228372756e-05,-1.1887778040176045e-05
crow,-,neg,2.7434505227574846e-06,0.00013564097753260285,-0.00013289752700984536
pecan,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
tomato,-,neg,6.029742962709861e-06,3.022637974936515e-05,-2.419663678665529e-05
cloak,-,neg,6.576775194844231e-05,3.423108864808455e-05,3.153666330035776e-05
garlic,-,neg,4.021220320282737e-06,1.9489420083118603e-05,-1.5468199762835866e-05
mamey,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
plumeria,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
vanilla,-,neg,2.4464784473821055e-06,3.743585466509103e-06,-1.2971070191269973e-06
grapefruit,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
truffle,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
gorilla,-,neg,1.5533109021248492e-08,4.700611043517711e-06,-4.685077934496462e-06
locust,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
aubergine,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
lagoon,-,neg,3.841498255496845e-06,4.9660331569612026e-05,-4.581883331411518e-05
syrup,-,neg,9.03624709280848e-07,7.134602583391825e-06,-6.230977874110977e-06
sun,-,pos,4.223132418701425e-05,0.00022236243239603937,-0.00018013110820902511
jean,-,neg,7.349114525823097e-07,1.4355249504660605e-06,-7.006134978837508e-07
budgie,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
guava,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
football,-,neg,3.8787566154496744e-06,3.6675981391454116e-05,-3.279722477600444e-05
ageratina,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
soursop,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
carrot,-,neg,1.4487089572412515e-07,2.590189296824974e-06,-2.445318401100849e-06
vegetable,-,neg,3.584226760722231e-06,1.7752920030034147e-05,-1.4168693269311916e-05
pawpaw,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
willow,-,neg,2.853953446901869e-06,1.172446627606405e-05,-8.87051282916218e-06
taxi,-,pos,1.8796686163113918e-07,1.9123808669974096e-06,-1.7244140053662704e-06
sandpaper,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
pistachio,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
miner,-,neg,2.4325276172021404e-05,1.9824561604764313e-05,4.500714567257091e-06
platanthera,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
human,-,neg,1.3196961845096666e-05,0.00023630120267625898,-0.00022310424083116231
paint,-,pos,5.764575325883925e-05,2.128549022017978e-05,3.636026303865947e-05
cider,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
sunflower,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
champagne,-,pos,1.1777309509852785e-06,8.050534233916551e-06,-6.872803282931272e-06
millipede,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
alligator,-,neg,1.769190163258827e-07,1.928483243318624e-06,-1.7515642269927412e-06
peach,-,pos,2.8847075554949697e-06,3.892780114256311e-06,-1.0080725587613415e-06
dandelion,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
echinocereus,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
tire,-,neg,1.0545785698923282e-05,4.4374424760462716e-05,-3.3828639061539434e-05
fox,-,neg,7.611798537254799e-06,7.802406616974622e-05,-7.041226763249142e-05
dog,-,neg,5.522148512682179e-06,0.00020717474399134517,-0.000201652595478663
chameleon,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
chive,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
goldfish,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
marigold,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
banana,-,pos,2.188450253015617e-06,1.7896201825351454e-05,-1.5707751572335837e-05
