concept,prop_s,label,prob,prob_control,prob_norm
nitrazepam,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
shotgun,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
arrow,-,pos,3.908650978701189e-05,6.169157131807879e-06,3.291735265520401e-05
menthol,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
marlinspike,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
conspirator,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
unction,-,neg,8.608960342826322e-06,4.653634277929086e-06,3.9553260648972355e-06
plane,-,neg,5.070299721410265e-06,5.37486448592972e-06,-3.045647645194549e-07
opener,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
bar,-,neg,2.8960879717487842e-05,0.00014855721383355558,-0.00011959633411606774
dip,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
bootlegger,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
scalpel,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
raper,-,pos,4.826352778763976e-06,4.64574122815975e-06,1.8061155060422607e-07
torpedo,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
colchicine,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
arm,-,neg,2.0048604710609652e-05,9.026304724102374e-06,1.1022299986507278e-05
firearm,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
mop,-,neg,3.251872016107882e-08,3.08088857536859e-07,-2.755701373757802e-07
plier,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
soup,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
tap,-,neg,9.235573088517413e-06,3.98450720240362e-05,-3.0609498935518786e-05
remedy,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
spud,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
bolo,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
saxitoxin,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
hammer,-,pos,9.671046427683905e-06,2.9465438274201006e-05,-1.97943918465171e-05
ointment,-,neg,8.305411029141396e-06,3.3461762996012112e-06,4.959234729540185e-06
blender,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
henchman,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
pestle,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
morphine,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
ciprofloxacin,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
gun,-,pos,6.74468683428131e-05,3.9982387534109876e-06,6.344862958940212e-05
knife,-,pos,3.1562547519570217e-05,5.447730927699013e-06,2.6114816591871204e-05
starter,-,neg,2.2510144845000468e-05,7.687486686336342e-06,1.4822658158664126e-05
toad,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
neurotoxin,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
slice,-,neg,7.152579684088778e-08,1.2660600532399258e-06,-1.194534256399038e-06
scorpion,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
gunman,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
dose,-,pos,3.0962819437263533e-05,8.067489034147002e-06,2.289533040311653e-05
harpoon,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
elixir,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
mattock,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
missile,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
langur,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
penicillin,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
grapeshot,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
fusil,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
aspirin,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
laxative,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
glove,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
warhead,-,pos,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
rabbit,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
cure,-,neg,5.699955685575231e-27,7.340583683567588e-26,-6.770588115010065e-26
